requested_lag_ms,mean,precision,minvar
-2000,0.07871155440807343,0.043074045330286026,0.033606477081775665
-1000,0.08530179411172867,0.06706669926643372,0.04814106971025467
-500,0.16575251519680023,0.13058382272720337,0.06592772901058197
0,0.29435858130455017,0.20855207741260529,0.14108489453792572
100,0.3243500888347626,0.24670226871967316,0.14845484495162964
200,0.2988724112510681,0.15840426087379456,0.16190996766090393
300,0.314579039812088,0.2619358003139496,0.1672258973121643
500,0.24743887782096863,0.1978122740983963,0.09206227958202362
1000,0.15160520374774933,0.12028580904006958,0.052763432264328
1500,0.11025986820459366,0.07668109983205795,0.05455506965517998
1800,0.05969664454460144,0.03708818927407265,0.009648876264691353
