requested_lag_ms,mean,precision,minvar
-2000,0.08033023029565811,0.06561048328876495,0.036698803305625916
-1000,0.08940967172384262,0.08343105763196945,0.047085948288440704
-500,0.18073450028896332,0.12286112457513809,0.06100020557641983
0,0.36243370175361633,0.23492750525474548,0.19665607810020447
100,0.34405407309532166,0.2471189945936203,0.12650902569293976
200,0.27786728739738464,0.18025526404380798,0.10174538195133209
300,0.28820377588272095,0.1823112964630127,0.12870590388774872
500,0.2522398829460144,0.21531322598457336,0.07468856126070023
1000,0.17004671692848206,0.1349930614233017,0.08452171832323074
1500,0.09151695668697357,0.061376988887786865,0.020484907552599907
1800,0.07680908590555191,0.06445319950580597,0.03270728141069412
