requested_lag_ms,chosen_lag_ms,r_mean
-2000,-2000,0.06324802339076996
-1000,-1000,0.12786735594272614
-500,-500,0.21519947052001953
0,0,0.36062127351760864
100,100,0.3393709063529968
200,200,0.3368566632270813
300,300,0.32361871004104614
500,500,0.23670315742492676
1000,1000,0.15937136113643646
1500,1500,0.10750521719455719
1800,1800,0.08506285399198532
