requested_lag_ms,chosen_lag_ms,r_mean
-2000,-2000,0.07296411693096161
-1000,-1000,0.05677460506558418
-500,-500,0.15239575505256653
0,0,0.22693650424480438
100,100,0.2024957239627838
200,200,0.28214332461357117
300,300,0.1757931113243103
500,500,0.10917788743972778
1000,1000,0.08413495123386383
1500,1500,0.0938841924071312
1800,1800,0.04561414569616318
