requested_lag_ms,r_mean_mean,r_mean_sem
-2000,0.07477813710769017,0.004676662101097055
-1000,0.08631032208601634,0.0016889031684134447
-500,0.16878939171632132,0.004941201800091995
0,0.33203840255737305,0.01988437808609609
100,0.3197887639204661,0.014812648897666533
200,0.2732719083627065,0.013745320032333532
300,0.30799206097920734,0.01001004290054458
500,0.2305294374624888,0.018687568710890647
1000,0.15653263529141745,0.00620418957249676
1500,0.10007320841153462,0.005487659799695048
1800,0.06657171001036961,0.00520602665167704
