requested_lag_ms,r_mean_mean,r_mean_sem
-2000,0.07115481545527776,0.0014480844910854632
-1000,0.07404487828413646,0.0026370321873025056
-500,0.17361067235469818,0.015372407311494245
0,0.3645026783148448,0.02287671349600905
100,0.33893826603889465,0.010486390793925856
200,0.330224613348643,0.012282047496460584
300,0.2842989017566045,0.024350820010012743
500,0.19910007218519846,0.006451734940962146
1000,0.15361153582731882,0.008379587907978492
1500,0.11033391207456589,0.0036269574903817813
1800,0.06258975341916084,0.0053183319520025705
