requested_lag_ms,r_mean_mean,r_mean_sem
-2000,0.07473727812369664,0.004677991282454096
-1000,0.0862878014643987,0.0017156613746252968
-500,0.16867709159851074,0.004876451208099634
0,0.33195817470550537,0.01985277561553081
100,0.3196793893973033,0.014838393213287018
200,0.2729805012543996,0.01374408771058885
300,0.308042307694753,0.010035351779430223
500,0.2304702897866567,0.01866714662249385
1000,0.1564754048983256,0.006166753741720798
1500,0.10008204728364944,0.005491153459243609
1800,0.06656416753927867,0.005207273296620454
