requested_lag_ms,chosen_lag_ms,r_mean
-2000,-2000,0.06546647846698761
-1000,-1000,0.0842088907957077
-500,-500,0.16247691214084625
0,0,0.34072989225387573
100,100,0.29246997833251953
200,200,0.24918362498283386
300,300,0.32036590576171875
500,500,0.19322469830513
1000,1000,0.1495610773563385
1500,1500,0.09770825505256653
1800,1800,0.06361976265907288
