requested_lag_ms,r_mean_mean,r_mean_sem
-2000,0.07525616139173508,0.002145034010997496
-1000,0.08484799166520436,0.0015544507139576714
-500,0.16446242729822794,0.004883391606951941
0,0.3648444910844167,0.025687811507997583
100,0.3294135133425395,0.023309740603389768
200,0.2872686783472697,0.01397735746187478
300,0.3115897277990977,0.004544733100211952
500,0.22099214792251587,0.01862962996551903
1000,0.16128125290075937,0.006640436703612505
1500,0.10283695658047994,0.007178832523847069
1800,0.06489285454154015,0.004501089275707293
