requested_lag_ms,r_mean_mean,r_mean_sem
-2000,0.07497715453306834,0.004567704437157333
-1000,0.08651876946290334,0.0014514760227646462
-500,0.16981057822704315,0.005521804927761953
0,0.33279810349146527,0.020138575690798858
100,0.32077668110529584,0.014580668097918192
200,0.2760741213957469,0.013709590109368926
300,0.30754683415095013,0.009790834122723104
500,0.23109975457191467,0.01879083417569232
1000,0.15705529352029166,0.0065237108982563324
1500,0.10004225373268127,0.005476372256370026
1800,0.06667118022839229,0.0051869743440005
