requested_lag_ms,chosen_lag_ms,r_mean
-2000,-2000,0.07813791930675507
-1000,-1000,0.08708424866199493
-500,-500,0.15609973669052124
0,0,0.31382736563682556
100,100,0.3535585403442383
200,200,0.2645895779132843
300,300,0.3085956871509552
500,500,0.2474762499332428
1000,1000,0.16605427861213684
1500,1500,0.1169801726937294
1800,1800,0.06281565129756927
