requested_lag_ms,r_mean_mean,r_mean_sem
-2000,0.0740603655576706,0.003865092702475103
-1000,0.08715315163135529,0.001100061230548937
-500,0.1683150033156077,0.007010678421956726
0,0.3432448208332062,0.02150456133937986
100,0.32131821910540265,0.01640428445658519
200,0.2820987403392792,0.007901611321655374
300,0.30985530217488605,0.007852182149497731
500,0.22915438314278921,0.020950639691255348
1000,0.15711698432763418,0.006999138714567554
1500,0.1004137247800827,0.006968475754977499
1800,0.06713809569676717,0.005724028429883581
