requested_lag_ms,r_mean_mean,r_mean_sem
-2000,0.07629271596670151,0.0028228894293467264
-1000,0.1015420729915301,0.013274473634631401
-500,0.1943526268005371,0.019449022537690795
0,0.3378728926181793,0.017915087390877514
100,0.3370066781838735,0.0076892762154705
200,0.32071112593015033,0.02783523730207036
300,0.30511293808619183,0.008581402148766362
500,0.2490526686112086,0.005442541792452853
1000,0.16406837602456412,0.00498969991808739
1500,0.10403261830409367,0.0027901937820472094
1800,0.07096234957377116,0.0062199192624610425
