requested_lag_ms,chosen_lag_ms,r_mean
-2000,-2000,0.07910939306020737
-1000,-1000,0.09091975539922714
-500,-500,0.185237854719162
0,0,0.3666107952594757
100,100,0.3523710370063782
200,200,0.2844689190387726
300,300,0.28828009963035583
500,500,0.24562713503837585
1000,1000,0.1724817454814911
1500,1500,0.09845809638500214
1800,1800,0.0696309357881546
