trial,lag_chosen,r_mean,k,lr,beta,warmup_frac,core_type,conv_ks,gru_hidden,lambda_ortho,lambda_smooth,weight_decay,grad_clip,dropout_p,epochs,patience,pca_dim,seed
1,25,0.06390724331140518,10,0.0004429276064844023,2.6062199502558365,0.1308462119317721,gru,3,,0.00035427369889992844,0.0007252988797583553,0.00015926696439111322,1.9281584903567526,0.039547470641264064,150,25,50,1235
2,25,0.11157715320587158,8,0.00108837955743589,1.5681904231222492,0.43187883538729227,conv,7,2,0.0019796230438782936,0.0022072730949478634,0.00011137682906569363,0.3441323693222771,0.1305622458733403,150,25,50,1236
3,25,0.3062152862548828,8,0.001453018505437768,0.30449535419689494,0.3055089905555051,mlp,7,,0.002933307820822918,0.001316854880240346,0.00026629751076145193,0.006264574915658683,0.03769006582369564,150,25,50,1237
4,25,0.14809295535087585,8,0.0005284540091275729,0.527874007580655,0.4610216084051528,gru,9,,0.0029767776884628574,0.0005469953485468601,0.0004700564511413623,0.1737661105463728,0.07023160726107763,150,25,50,1238
5,25,0.08515623211860657,8,0.00030046151106266286,1.643003888853919,0.48820828714702935,gru,5,2,0.0013466208009691315,0.0011115252893120656,0.00024133471850692502,0.18436309369655968,0.03400246575813892,150,25,50,1239
6,25,0.27376896142959595,10,0.001763980610054354,0.045811015501882046,0.15275038482875597,conv,7,2,0.00225310150907795,0.001416145379616708,0.00022863793979745396,1.4926756064739783,0.1283099816756367,150,25,50,1240
7,25,0.03971366211771965,8,0.0017645527623380967,0.9832718353230451,0.4435434870858682,mlp,3,,0.0015376483430751136,0.0018383570411319196,0.00014017447581451687,0.9042634531481253,0.07968316335175275,150,25,50,1241
8,25,0.07600799947977066,8,0.00010236768619369776,0.005556056540523479,0.12843789817068818,gru,3,k,0.00015900588763643786,0.0009794834861420116,9.917910359154092e-05,1.6584298187484403,0.09556824429463492,150,25,50,1242
9,25,0.09030383825302124,8,0.00023674059968751862,0.3313990208280769,0.06720504471431554,mlp,5,2,0.00040957193221544965,0.0023931064169229305,0.0002491467612601266,0.6094154547876707,0.03513090783100213,150,25,50,1243
10,25,0.15629789233207703,10,0.00043834096230782035,0.0019163647378168188,0.016903427218750766,gru,5,k,0.0026214718822094693,0.0010518284730588324,0.0004117602758224694,1.8943981487343036,0.010056106483487709,150,25,50,1244
11,25,0.21188516914844513,8,0.0011286875324396128,0.013076830351964457,0.08742322556253873,mlp,5,k,0.0022817112007981516,0.0020617847312159594,0.00012407738973783404,1.2440931887723716,0.047348353616947274,150,25,50,1245
12,25,0.28621190786361694,10,0.0038086481918311018,0.010826859369272235,0.47441750776980035,mlp,3,,0.0016964352439870999,0.0011409093912768018,0.0004040533636208922,0.2551073358953122,0.1427009327004971,150,25,50,1246
13,25,0.09415584802627563,10,0.00019880463079723835,0.3657704749625534,0.04641651187097112,gru,3,k,0.0003074824041914982,0.0001310797239377054,0.00019634525333760562,1.3821081225654768,0.10904661469930457,150,25,50,1247
14,25,0.1043887510895729,10,0.001013078379954095,1.7877304637477227,0.26882882647311734,gru,9,,0.00042388747046531386,0.0028868402678165804,0.00039905195211010916,0.013507544162253637,0.14187173156829783,150,25,50,1248
15,25,0.30363303422927856,5,0.003533163761917657,0.003669131199868717,0.29431615954245377,conv,3,k,0.0005214269459408831,0.00018855089499994672,0.0003322741667574071,0.06381051206925425,0.03572334001807719,150,25,50,1249
16,25,0.25492674112319946,8,0.001056837690442369,0.011141669386175007,0.42156500158984017,conv,9,2,0.0021695736823306605,0.0027796242460811434,2.9498617403828977e-05,0.1002949266139801,0.018582018327435484,150,25,50,1250
17,25,0.09470774978399277,10,0.0007997518477450313,2.3911716617492345,0.09123363513579458,mlp,3,2,0.002639714669776217,0.0009688669024412499,9.5657852830704e-05,0.9937328686658768,0.047160798112174385,150,25,50,1251
18,25,0.15015539526939392,5,0.0001437010667236723,0.15113856374090964,0.31701919102807435,mlp,9,2,4.46390530648364e-05,0.0021994799530258595,0.00031643142769927,1.0033698421535482,0.018140483052141238,150,25,50,1252
19,25,0.28496453166007996,8,0.0015635021662988352,0.12701994077347106,0.4905496057145098,gru,7,,0.002181239313065383,0.0014659011053576741,0.000140249570986322,1.7706605336195298,0.1211592264938598,150,25,50,1253
20,25,0.16390018165111542,10,0.0012325422239717325,0.2161944419305845,0.004218362054836611,conv,5,,0.0006506783504700615,0.0006608070833145251,0.000370568606865804,1.8831080188755396,0.039965594903570066,150,25,50,1254
21,25,0.10140872001647949,10,0.0001008139962515625,0.9876848362354737,0.4034044460997555,gru,9,,0.0002968088483390241,0.001659679707295718,0.0003814552762613316,1.4618624730293457,0.10237065662503798,150,25,50,1255
22,25,0.21140265464782715,10,0.0010447233323619143,0.0074347484636334915,0.014030645907476214,gru,3,2,0.001242241798828843,0.0021703922414161546,0.00013297543681131574,1.96073915496153,0.026713500365176734,150,25,50,1256
23,25,0.21998028457164764,8,0.0006918259917668199,0.023494041644457953,0.32778712811961574,mlp,9,,0.00042904417564262567,0.002576927639786831,0.00034140498489328716,0.6640666124478771,0.0037224298494419102,150,25,50,1257
24,25,0.09221396595239639,10,0.00045950503233873046,3.0841952103441406,0.459306034824528,mlp,7,,0.0011166628776402491,0.0008002492290426205,7.093697720199205e-05,1.183037043963415,0.0694619421667661,150,25,50,1258
